| Day                            | Time                           | Campus                         | Building & Room                |
| Wednesday                      | 1300 - 1700                    | DOUGLAS/COOK                   | HSB-108                        |
| Wednesday                      | 0845 - 0940                    | DOUGLAS/COOK                   | HCK-138                        |
| Wednesday                      | 1300 - 1700                    | DOUGLAS/COOK                   | HSB-103                        |
| Wednesday                      | 0845 - 0940                    | DOUGLAS/COOK                   | HCK-138                        |
| Thursday                       | 0800 - 1200                    | DOUGLAS/COOK                   | HSB-108                        |
| Wednesday                      | 0845 - 0940                    | DOUGLAS/COOK                   | HCK-138                        |
| Thursday                       | 1300 - 1700                    | DOUGLAS/COOK                   | HSB-103                        |
| Wednesday                      | 0845 - 0940                    | DOUGLAS/COOK                   | HCK-138                        |
| Thursday                       | 1300 - 1700                    | DOUGLAS/COOK                   | HSB-108                        |
| Wednesday                      | 0845 - 0940                    | DOUGLAS/COOK                   | HCK-138                        |
| Friday                         | 0800 - 1200                    | DOUGLAS/COOK                   | HSB-108                        |
| Wednesday                      | 0845 - 0940                    | DOUGLAS/COOK                   | HCK-138                        |
| Friday                         | 0800 - 1200                    | DOUGLAS/COOK                   | HSB-103                        |
| Wednesday                      | 0845 - 0940                    | DOUGLAS/COOK                   | HCK-138                        |
| Friday                         | 1300 - 1700                    | DOUGLAS/COOK                   | HSB-108                        |
| Wednesday                      | 0845 - 0940                    | DOUGLAS/COOK                   | HCK-138                        |
| Friday                         | 1300 - 1700                    | DOUGLAS/COOK                   | HSB-103                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Monday                         | 1300 - 1700                    | BUSCH                          | WL-331                         |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Tuesday                        | 1300 - 1700                    | BUSCH                          | WL-331A                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Wednesday                      | 0800 - 1200                    | BUSCH                          | WL-331A                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Wednesday                      | 0800 - 1200                    | BUSCH                          | WL-331B                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Thursday                       | 0800 - 1200                    | BUSCH                          | WL-331A                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Thursday                       | 0800 - 1200                    | BUSCH                          | WL-331B                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Thursday                       | 1300 - 1700                    | BUSCH                          | WL-331B                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Friday                         | 0800 - 1200                    | BUSCH                          | WL-331A                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Friday                         | 0800 - 1200                    | BUSCH                          | WL-331B                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Friday                         | 1300 - 1700                    | BUSCH                          | WL-331B                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Tuesday                        | 1300 - 1700                    | BUSCH                          | WL-331B                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Monday                         | 1800 - 2200                    | BUSCH                          | WL-331B                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | ARC-103                        |
| Wednesday                      | 1800 - 2200                    | BUSCH                          | WL-331B                        |
| Wednesday                      | 0845 - 0940                    | DOUGLAS/COOK                   | HCK-138                        |
| Tuesday                        | 0800 - 1200                    | BUSCH                          | WL-331A                        |
| Wednesday                      | 0845 - 0940                    | DOUGLAS/COOK                   | HCK-138                        |
| Tuesday                        | 0800 - 1200                    | BUSCH                          | WL-331B                        |
| Monday                         | 1400 - 1520                    | BUSCH                          | CCB-1303                       |
| Wednesday                      | 1400 - 1520                    | BUSCH                          | CCB-1303                       |
| Wednesday                      | 1605 - 1700                    | BUSCH                          | CCB-1209                       |
| Monday                         | 1400 - 1520                    | BUSCH                          | CCB-1303                       |
| Wednesday                      | 1400 - 1520                    | BUSCH                          | CCB-1303                       |
| Monday                         | 1605 - 1700                    | BUSCH                          | CCB-1209                       |
| Monday                         | 1400 - 1520                    | BUSCH                          | CCB-1303                       |
| Wednesday                      | 1400 - 1520                    | BUSCH                          | CCB-1303                       |
| Wednesday                      | 1225 - 1320                    | BUSCH                          | CCB-1209                       |
| Tuesday                        | 0830 - 0950                    | BUSCH                          | CCB-1203                       |
| Friday                         | 0830 - 0950                    | BUSCH                          | CCB-1203                       |
| Friday                         | 1035 - 1130                    | BUSCH                          | ARC-207                        |
| Tuesday                        | 0830 - 0950                    | BUSCH                          | CCB-1203                       |
| Friday                         | 0830 - 0950                    | BUSCH                          | CCB-1203                       |
| Friday                         | 1225 - 1320                    | BUSCH                          | ARC-207                        |
| Tuesday                        | 1400 - 1520                    | BUSCH                          | SEC-216                        |
| Tuesday                        | 1740 - 2040                    | BUSCH                          | WL-165                         |
| Tuesday                        | 1400 - 1520                    | BUSCH                          | SEC-216                        |
| Thursday                       | 1400 - 1700                    | BUSCH                          | WL-165                         |
| Wednesday                      | 1210 - 1330                    | BUSCH                          | CCB-1303                       |
| Friday                         | 1400 - 1520                    | BUSCH                          | CCB-1303                       |
| Monday                         | 1020 - 1140                    | BUSCH                          | CCB-1203                       |
| Thursday                       | 1020 - 1140                    | BUSCH                          | CCB-1203                       |
| Monday                         | 1210 - 1330                    | BUSCH                          | CCB-1303                       |
| Thursday                       | 1210 - 1330                    | BUSCH                          | CCB-1303                       |
| Monday                         | 1400 - 1520                    | BUSCH                          | ARC-206                        |
| Wednesday                      | 1400 - 1520                    | BUSCH                          | ARC-206                        |
| Monday                         | 0830 - 0950                    | BUSCH                          | ARC-105                        |
| Thursday                       | 0830 - 0950                    | BUSCH                          | ARC-105                        |
| Tuesday                        | 0830 - 0950                    | BUSCH                          | SEC-220                        |
| Friday                         | 0830 - 0950                    | BUSCH                          | SEC-220                        |
| Monday                         | 1550 - 1710                    | BUSCH                          | SEC-202                        |
| Wednesday                      | 1550 - 1710                    | BUSCH                          | SEC-202                        |
| Monday                         | 1400 - 1520                    | BUSCH                          | ARC-107                        |
| Wednesday                      | 1400 - 1520                    | BUSCH                          | ARC-107                        |
| Monday                         | 1210 - 1330                    | BUSCH                          | ARC-107                        |
| Thursday                       | 1210 - 1330                    | BUSCH                          | ARC-107                        |
| Wednesday                      | 0830 - 1130                    | BUSCH                          | SEC-206                        |
| Tuesday                        | 0830 - 1130                    | BUSCH                          | CBM-010                        |
| Monday                         | 0830 - 1130                    | BUSCH                          | ARC-207                        |
| Tuesday                        | 1400 - 1520                    | COLLEGE AVENUE                 | SC-120                         |
| Thursday                       | 1400 - 1520                    | COLLEGE AVENUE                 | SC-120                         |
| Friday                         | 1400 - 1520                    | COLLEGE AVENUE                 | SC-120                         |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | AB-2150                        |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | AB-2150                        |
| Friday                         | 1550 - 1710                    | COLLEGE AVENUE                 | AB-2150                        |
| Tuesday                        | 1210 - 1330                    | COLLEGE AVENUE                 | SC-207                         |
| Wednesday                      | 1210 - 1330                    | COLLEGE AVENUE                 | SC-207                         |
| Friday                         | 1210 - 1330                    | COLLEGE AVENUE                 | SC-207                         |
| Tuesday                        | 1020 - 1140                    | COLLEGE AVENUE                 | SC-221                         |
| Wednesday                      | 1020 - 1140                    | COLLEGE AVENUE                 | SC-221                         |
| Friday                         | 1020 - 1140                    | COLLEGE AVENUE                 | SC-221                         |
| Wednesday                      | 1930 - 2130                    | COLLEGE AVENUE                 | HH-B3                          |
| Monday                         | 1930 - 2130                    | COLLEGE AVENUE                 | HH-B3                          |
| Tuesday                        | 1930 - 2130                    | COLLEGE AVENUE                 | HH-B3                          |
| Tuesday                        | 1740 - 1900                    | COLLEGE AVENUE                 | HH-B2                          |
| Thursday                       | 1740 - 1900                    | COLLEGE AVENUE                 | HH-B2                          |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | SC-207                         |
| Wednesday                      | 1020 - 1140                    | COLLEGE AVENUE                 | SC-207                         |
| Thursday                       | 1020 - 1140                    | COLLEGE AVENUE                 | SC-207                         |
| Monday                         | 1740 - 1900                    | COLLEGE AVENUE                 | SC-207                         |
| Wednesday                      | 1740 - 1900                    | COLLEGE AVENUE                 | SC-207                         |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | HH-A5                          |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | HH-A5                          |
| Thursday                       | 1930 - 2230                    | COLLEGE AVENUE                 | SC-114                         |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | SC-120                         |
| Thursday                       | 1020 - 1140                    | COLLEGE AVENUE                 | SC-120                         |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | SC-220                         |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | SC-220                         |
| Monday                         | 1740 - 1900                    | COLLEGE AVENUE                 | SC-206                         |
| Wednesday                      | 1740 - 1900                    | COLLEGE AVENUE                 | SC-206                         |
| Tuesday                        | 1740 - 1900                    | COLLEGE AVENUE                 | SC-203                         |
| Thursday                       | 1740 - 1900                    | COLLEGE AVENUE                 | SC-203                         |
| Tuesday                        | 1210 - 1330                    | COLLEGE AVENUE                 | AB-1180                        |
| Friday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-1180                        |
| Wednesday                      | 1930 - 2230                    | COLLEGE AVENUE                 | AB-1180                        |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | AB-1180                        |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | AB-1180                        |
| Monday                         | 1930 - 2230                    | COLLEGE AVENUE                 | AB-1180                        |
| Tuesday                        | 1740 - 1900                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1740 - 1900                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1930 - 2050                    | DOUGLAS/COOK                   | RAB-001                        |
| Tuesday                        | 1020 - 1140                    | COLLEGE AVENUE                 | MU-301                         |
| Friday                         | 1020 - 1140                    | COLLEGE AVENUE                 | MU-301                         |
| Tuesday                        | 1740 - 2040                    | COLLEGE AVENUE                 | MU-301                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-4140                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-4140                        |
| Tuesday                        | 1400 - 1520                    | COLLEGE AVENUE                 | AB-4140                        |
| Thursday                       | 1400 - 1520                    | COLLEGE AVENUE                 | AB-4140                        |
| Wednesday                      | 1740 - 2040                    | COLLEGE AVENUE                 | AB-4140                        |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | CI-201                         |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | CI-201                         |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | AB-4140                        |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | AB-4140                        |
| Monday                         | 1740 - 2040                    | COLLEGE AVENUE                 | AB-4140                        |
| Tuesday                        | 1020 - 1320                    | LIVINGSTON                     | LSH-AUD                        |
| Wednesday                      | 0845 - 0940                    | LIVINGSTON                     | TIL-127                        |
| Tuesday                        | 1020 - 1320                    | LIVINGSTON                     | LSH-AUD                        |
| Wednesday                      | 1605 - 1700                    | LIVINGSTON                     | BRR-5109                       |
| Tuesday                        | 1020 - 1320                    | LIVINGSTON                     | LSH-AUD                        |
| Thursday                       | 1225 - 1320                    | LIVINGSTON                     | TIL-252                        |
| Tuesday                        | 1020 - 1320                    | LIVINGSTON                     | LSH-AUD                        |
| Thursday                       | 1605 - 1700                    | LIVINGSTON                     | TIL-103B                       |
| Tuesday                        | 1020 - 1320                    | LIVINGSTON                     | LSH-AUD                        |
| Thursday                       | 1755 - 1850                    | LIVINGSTON                     | TIL-105                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | MU-208                         |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | MU-208                         |
| Tuesday                        | 1035 - 1130                    | LIVINGSTON                     | BE-111                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | MU-208                         |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | MU-208                         |
| Tuesday                        | 1225 - 1320                    | LIVINGSTON                     | TIL-103C                       |
| Monday                         | 1550 - 1710                    | LIVINGSTON                     | LSH-B269                       |
| Wednesday                      | 1550 - 1710                    | LIVINGSTON                     | LSH-B269                       |
| Monday                         | 1400 - 1520                    | BUSCH                          | ARC-205                        |
| Wednesday                      | 1400 - 1520                    | BUSCH                          | ARC-205                        |
| Monday                         | 1550 - 1710                    | LIVINGSTON                     | BE-111                         |
| Wednesday                      | 1550 - 1710                    | LIVINGSTON                     | BE-111                         |
| Tuesday                        | 1550 - 1710                    | LIVINGSTON                     | TIL-257                        |
| Thursday                       | 1550 - 1710                    | LIVINGSTON                     | TIL-257                        |
| Wednesday                      | 1755 - 1850                    | LIVINGSTON                     | BE-013                         |
| Tuesday                        | 1550 - 1710                    | LIVINGSTON                     | TIL-257                        |
| Thursday                       | 1550 - 1710                    | LIVINGSTON                     | TIL-257                        |
| Wednesday                      | 1415 - 1510                    | LIVINGSTON                     | TIL-242                        |
| Tuesday                        | 1550 - 1710                    | LIVINGSTON                     | TIL-257                        |
| Thursday                       | 1550 - 1710                    | LIVINGSTON                     | TIL-257                        |
| Wednesday                      | 1225 - 1320                    | LIVINGSTON                     | TIL-103D                       |
| Tuesday                        | 1550 - 1710                    | LIVINGSTON                     | TIL-257                        |
| Thursday                       | 1550 - 1710                    | LIVINGSTON                     | TIL-257                        |
| Wednesday                      | 1035 - 1130                    | LIVINGSTON                     | TIL-103D                       |
| Tuesday                        | 1550 - 1710                    | LIVINGSTON                     | TIL-257                        |
| Thursday                       | 1550 - 1710                    | LIVINGSTON                     | TIL-257                        |
| Wednesday                      | 0845 - 0940                    | LIVINGSTON                     | TIL-103D                       |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | CA-A5                          |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | CA-A5                          |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | SC-115                         |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | SC-115                         |
| Monday                         | 1020 - 1140                    | LIVINGSTON                     | TIL-209                        |
| Thursday                       | 1020 - 1140                    | LIVINGSTON                     | TIL-209                        |
| Thursday                       | 1000 - 1230                    | BUSCH                          | PSY-A139                       |
| Tuesday                        | 1020 - 1140                    | LIVINGSTON                     | BE-221                         |
| Friday                         | 1020 - 1140                    | LIVINGSTON                     | BE-221                         |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | FH-B6                          |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | FH-B6                          |
| Tuesday                        | 1400 - 1520                    | COLLEGE AVENUE                 | FH-B3                          |
| Thursday                       | 1400 - 1520                    | COLLEGE AVENUE                 | FH-B3                          |
| Monday                         | 1210 - 1330                    | DOUGLAS/COOK                   | HCK-101                        |
| Thursday                       | 1210 - 1330                    | DOUGLAS/COOK                   | HCK-101                        |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | MU-301                         |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | MU-301                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-1180                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-1180                        |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | FH-A6                          |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | FH-A6                          |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | FH-B2                          |
| Thursday                       | 1020 - 1140                    | COLLEGE AVENUE                 | FH-B2                          |
| Monday                         | 0830 - 0950                    | COLLEGE AVENUE                 | SC-221                         |
| Thursday                       | 0830 - 0950                    | COLLEGE AVENUE                 | SC-221                         |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | MU-114                         |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | MU-114                         |
| Monday                         | 0830 - 0950                    | COLLEGE AVENUE                 | SC-120                         |
| Thursday                       | 0830 - 0950                    | COLLEGE AVENUE                 | SC-120                         |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | SC-205                         |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | SC-205                         |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | FH-B6                          |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | FH-B6                          |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | SC-121                         |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | SC-121                         |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | HH-B5                          |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | HH-B5                          |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | AB-2160                        |
| Thursday                       | 1020 - 1140                    | COLLEGE AVENUE                 | AB-2160                        |
| Monday                         | 1400 - 1520                    | LIVINGSTON                     | LSH-B112                       |
| Wednesday                      | 1400 - 1520                    | LIVINGSTON                     | LSH-B112                       |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | ZAM-MPR                        |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | ZAM-MPR                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | HH-B3                          |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | HH-B3                          |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | MU-115                         |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | MU-115                         |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | SC-101                         |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | SC-101                         |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | AB-4052                        |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | AB-4052                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | HH-A2                          |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | HH-A2                          |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | SC-105                         |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | SC-105                         |
| Tuesday                        | 1400 - 1520                    | COLLEGE AVENUE                 | SC-201                         |
| Thursday                       | 1400 - 1520                    | COLLEGE AVENUE                 | SC-201                         |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | SC-103                         |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | SC-103                         |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | SC-104                         |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | SC-104                         |
| Tuesday                        | 1020 - 1140                    | COLLEGE AVENUE                 | MU-112                         |
| Friday                         | 1020 - 1140                    | COLLEGE AVENUE                 | MU-112                         |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | AB-4052                        |
| Thursday                       | 1020 - 1140                    | COLLEGE AVENUE                 | AB-4052                        |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | CI-201                         |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | CI-201                         |
| Monday                         | 0830 - 0950                    | COLLEGE AVENUE                 | MU-111                         |
| Thursday                       | 0830 - 0950                    | COLLEGE AVENUE                 | MU-111                         |
| Tuesday                        | 1740 - 1900                    | COLLEGE AVENUE                 | SC-120                         |
| Thursday                       | 1740 - 1900                    | COLLEGE AVENUE                 | SC-120                         |
| Monday                         | 1210 - 1330                    | BUSCH                          | SEC-207                        |
| Thursday                       | 1210 - 1330                    | BUSCH                          | SEC-207                        |
| Tuesday                        | 1740 - 1900                    | BUSCH                          | PH-115                         |
| Thursday                       | 1740 - 1900                    | BUSCH                          | PH-115                         |
| Thursday                       | 1945 - 2040                    | BUSCH                          | SEC-207                        |
| Tuesday                        | 1740 - 1900                    | BUSCH                          | PH-115                         |
| Thursday                       | 1740 - 1900                    | BUSCH                          | PH-115                         |
| Tuesday                        | 1945 - 2040                    | BUSCH                          | SEC-205                        |
| Monday                         | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Thursday                       | 1225 - 1320                    | BUSCH                          | ARC-121                        |
| Monday                         | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Thursday                       | 1945 - 2040                    | BUSCH                          | ARC-121                        |
| Monday                         | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Thursday                       | 1755 - 1850                    | BUSCH                          | ARC-121                        |
| Monday                         | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Tuesday                        | 1035 - 1130                    | BUSCH                          | ARC-121                        |
| Monday                         | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Thursday                       | 1605 - 1700                    | BUSCH                          | ARC-121                        |
| Monday                         | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Wednesday                      | 1415 - 1510                    | BUSCH                          | EN-B120                        |
| Thursday                       | 1415 - 1510                    | BUSCH                          | ARC-121                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1035 - 1130                    | BUSCH                          | HLL-252                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1035 - 1130                    | COLLEGE AVENUE                 | FH-A2                          |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1035 - 1130                    | COLLEGE AVENUE                 | MU-211                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1035 - 1130                    | BUSCH                          | ARC-203                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1225 - 1320                    | BUSCH                          | ARC-203                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1225 - 1320                    | COLLEGE AVENUE                 | SC-121                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1225 - 1320                    | BUSCH                          | HLL-252                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1225 - 1320                    | COLLEGE AVENUE                 | AB-2250                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1755 - 1850                    | BUSCH                          | SEC-220                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1755 - 1850                    | COLLEGE AVENUE                 | SC-220                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1755 - 1850                    | COLLEGE AVENUE                 | SC-216                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1755 - 1850                    | BUSCH                          | SEC-211                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1945 - 2040                    | BUSCH                          | SEC-220                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1945 - 2040                    | COLLEGE AVENUE                 | SC-121                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-2225                        |
| Tuesday                        | 1945 - 2040                    | BUSCH                          | SEC-211                        |
| Monday                         | 0830 - 0950                    | LIVINGSTON                     | LSH-AUD                        |
| Thursday                       | 0830 - 0950                    | LIVINGSTON                     | LSH-AUD                        |
| Wednesday                      | 1035 - 1130                    | BUSCH                          | HLL-252                        |
| Monday                         | 0830 - 0950                    | LIVINGSTON                     | LSH-AUD                        |
| Thursday                       | 0830 - 0950                    | LIVINGSTON                     | LSH-AUD                        |
| Wednesday                      | 1035 - 1130                    | LIVINGSTON                     | LSH-A139                       |
| Monday                         | 0830 - 0950                    | LIVINGSTON                     | LSH-AUD                        |
| Thursday                       | 0830 - 0950                    | LIVINGSTON                     | LSH-AUD                        |
| Wednesday                      | 1035 - 1130                    | LIVINGSTON                     | LSH-B121                       |
| Monday                         | 0830 - 0950                    | LIVINGSTON                     | LSH-AUD                        |
| Thursday                       | 0830 - 0950                    | LIVINGSTON                     | LSH-AUD                        |
| Wednesday                      | 1035 - 1130                    | BUSCH                          | ARC-203                        |
| Monday                         | 0830 - 0950                    | LIVINGSTON                     | LSH-AUD                        |
