| Day                            | Time                           | Campus                         | Building & Room                |
| Wednesday                      | 12:10 PM - 1:30 PM             | Livingston                     | BRR-5071                       |
| Wednesday                      | 8:30 AM - 9:50 AM              | Livingston                     | LSH-B111                       |
| Friday                         | 12:10 PM - 1:30 PM             | Livingston                     | BE-201                         |
| Wednesday                      | 5:40 PM - 7:00 PM              | Livingston                     | BE-011                         |
| Tuesday                        | 7:30 PM - 8:50 PM              | Livingston                     | TIL-209                        |
| Thursday                       | 12:10 PM - 1:30 PM             | Busch                          | SEC-217                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | BSC-175                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Livingston                     | BRR-5085                       |
| Friday                         | 10:20 AM - 11:40 AM            | Busch                          | BSC-175                        |
| Monday                         | 3:50 PM - 5:10 PM              | Busch                          | BSC-175                        |
| Thursday                       | 12:10 PM - 1:30 PM             | Busch                          | BSC-175                        |
| Thursday                       | 2:00 PM - 3:20 PM              | Busch                          | BSC-175                        |
| Friday                         | 2:00 PM - 3:20 PM              | Livingston                     | BE-219                         |
| Friday                         | 3:50 PM - 5:10 PM              | Livingston                     | TIL-207                        |
| Friday                         | 2:00 PM - 3:20 PM              | Livingston                     | BE-201                         |
| Friday                         | 3:50 PM - 5:10 PM              | Livingston                     | BE-219                         |
| Friday                         | 3:50 PM - 5:10 PM              | Livingston                     | BE-201                         |
| Friday                         | 10:20 AM - 11:40 AM            | Livingston                     | BE-250                         |
| Monday                         | 7:30 PM - 8:50 PM              | Busch                          | SEC-220                        |
| Tuesday                        | 7:30 PM - 8:50 PM              | Livingston                     | TIL-253                        |
| Thursday                       | 7:30 PM - 8:50 PM              | Livingston                     | TIL-251                        |
| Thursday                       | 10:35 AM - 11:30 AM            | Livingston                     | LSH-A326                       |
| Thursday                       | 10:35 AM - 11:30 AM            | Livingston                     | LSH-A232                       |
| Tuesday                        | 5:40 PM - 7:00 PM              | Livingston                     | LSH-A215                       |
| Thursday                       | 12:10 PM - 1:30 PM             | Livingston                     | LSH-A215                       |
| Friday                         | 4:00 PM - 8:00 PM              | Busch                          | SEC-220                        |
| Saturday                       | 8:00 AM - 5:00 PM              | Busch                          | SEC-220                        |
| Friday                         | 4:00 PM - 8:00 PM              | Busch                          | ARC-110                        |
| Saturday                       | 8:00 AM - 5:00 PM              | Busch                          | ARC-110                        |
| Friday                         | 4:00 PM - 8:00 PM              | Busch                          | ARC-108                        |
