Building/Room       Class Times              Professor Names               
EN-B120             3:50 PM - 5:10 PM        NARRAMORE                     
EN-B120             3:50 PM - 5:10 PM        NARRAMORE                     
ARC-110             12:25 PM - 1:20 PM       MARTIN, NANCY                 
EN-B120             3:50 PM - 5:10 PM        SCHWARTZ                      
EN-B120             3:50 PM - 5:10 PM        HEDGES, TIMOTHY               
HLL-252             12:25 PM - 1:20 PM       HEDGES, TIMOTHY               
EN-B120             3:50 PM - 5:10 PM        MALANGA, TARA                 
EN-B120             3:50 PM - 5:10 PM        MALANGA, TARA                 
HLL-248             12:25 PM - 1:20 PM       BECKER, BRIAN                 
EN-B120             3:50 PM - 5:10 PM        BECKER, BRIAN                 
EN-B120             3:50 PM - 5:10 PM        ASHLEY, BRIE                  
ARC-207             12:25 PM - 1:20 PM       ASHLEY, BRIE                  
EN-B120             3:50 PM - 5:10 PM        MASIELLO                      
EN-B120             3:50 PM - 5:10 PM        SOLOMON, ALEX                 
ARC-203             12:25 PM - 1:20 PM       MASIELLO                      
EN-B120             3:50 PM - 5:10 PM        SOLOMON, ALEX                 
EN-B120             3:50 PM - 5:10 PM        MONESCALCHI                   
ARC-110             4:05 PM - 5:00 PM        BUCHAN, MARK                  
EN-B120             3:50 PM - 5:10 PM        FANELLI-TEAGUE                
EN-B120             3:50 PM - 5:10 PM        FANELLI-TEAGUE                
ARC-203             4:05 PM - 5:00 PM        MONESCALCHI                   
EN-B120             3:50 PM - 5:10 PM        BUCHAN, MARK                  
EN-B120             3:50 PM - 5:10 PM        HANSON, JOEL                  
ARC-207             4:05 PM - 5:00 PM        HANSON, JOEL                  
EN-B120             3:50 PM - 5:10 PM        FREEMAN                       
EN-B120             3:50 PM - 5:10 PM        WARDLAW, SHELBY               
ARC-206             4:05 PM - 5:00 PM        FREEMAN                       
EN-B120             3:50 PM - 5:10 PM        WARDLAW, SHELBY               
EN-B120             3:50 PM - 5:10 PM        MCCONNELL                     
ARC-108             2:15 PM - 3:10 PM        MCCONNELL                     
HLL-114             3:50 PM - 5:10 PM        ZHYLINA, IRYNA                
HLL-114             3:50 PM - 5:10 PM        ZHYLINA, IRYNA                
ARC-110             2:15 PM - 3:10 PM        NEMIROFF, ERIN                
HLL-114             3:50 PM - 5:10 PM        NEMIROFF, ERIN                
HLL-114             3:50 PM - 5:10 PM        KROLCZYK                      
HLL-009             2:15 PM - 3:10 PM        KROLCZYK                      
HLL-114             3:50 PM - 5:10 PM        ANSINE, JANET                 
HLL-114             3:50 PM - 5:10 PM        GILMARTIN                     
SEC-216             2:15 PM - 3:10 PM        ANSINE, JANET                 
HLL-114             10:20 AM - 11:40 AM      GILMARTIN                     
HLL-114             3:50 PM - 5:10 PM        FASCIANO, DANA                
ARC-207             10:35 AM - 11:30 AM      FASCIANO, DANA                
HLL-114             10:20 AM - 11:40 AM      CELI, CLAIRE                  
HLL-114             3:50 PM - 5:10 PM        CELI, CLAIRE                  
SEC-212             10:35 AM - 11:30 AM      PIERCE, ALYEA                 
HLL-114             10:20 AM - 11:40 AM      PIERCE, ALYEA                 
HLL-114             3:50 PM - 5:10 PM        DEXHEIMER                     
HLL-252             10:35 AM - 11:30 AM      OLTARZEWSKI                   
HLL-114             10:20 AM - 11:40 AM      OLTARZEWSKI                   
HLL-114             3:50 PM - 5:10 PM        WALSH, DANIEL                 
HLL-009             10:35 AM - 11:30 AM      WALSH, DANIEL                 
HLL-114             10:20 AM - 11:40 AM      ALLEN, DEBORAH                
HLL-114             3:50 PM - 5:10 PM        ALLEN, DEBORAH                
SEC-211             12:25 PM - 1:20 PM       HEDGES, TIMOTHY               
HLL-114             10:20 AM - 11:40 AM      JOVANOSKI                     
HLL-114             3:50 PM - 5:10 PM        JOVANOSKI                     
ARC-203             12:25 PM - 1:20 PM       MUSAT, RALUCA                 
HLL-114             10:20 AM - 11:40 AM      BENDER                        
HLL-114             3:50 PM - 5:10 PM        BENDER                        
SEC-217             12:25 PM - 1:20 PM       HUNTER, JOHN                  
HLL-114             10:20 AM - 11:40 AM      DUFFY, MIKE                   
HLL-114             3:50 PM - 5:10 PM        KEATES, DEBRA                 
SEC-218             12:25 PM - 1:20 PM       BLOMQUIST, SARA               
HLL-114             10:20 AM - 11:40 AM      LOTHES, REAGAN                
HLL-114             3:50 PM - 5:10 PM        FESI, JOSHUA                  
SEC-204             10:35 AM - 11:30 AM      FESI, JOSHUA                  
HLL-114             10:20 AM - 11:40 AM      ROBINSON                      
HLL-114             3:50 PM - 5:10 PM        REINKEN, BRIAN                
SEC-206             10:35 AM - 11:30 AM      YOUNG, RASHEDA                
HLL-114             10:20 AM - 11:40 AM      THOMPSON, KAREN               
HLL-114             3:50 PM - 5:10 PM        THOMPSON, KAREN               
HLL-009             10:35 AM - 11:30 AM      SCHROEPFER                    
HLL-114             10:20 AM - 11:40 AM      LILLEY, DAWN                  
HLL-114             3:50 PM - 5:10 PM        WILFORD                       
SEC-212             10:35 AM - 11:30 AM      SWERDLOFF                     
HLL-114             10:20 AM - 11:40 AM      MCDANIEL                      
HLL-114             3:50 PM - 5:10 PM        SENDUR, ELIF                  
SEC-216             10:35 AM - 11:30 AM      SANDBERG GOLDEN               
HLL-114             2:00 PM - 3:20 PM        SANDBERG GOLDEN               
HLL-114             2:00 PM - 3:20 PM        SCHWARTZ                      
ARC-110             8:45 AM - 9:40 AM        MALANGA, TARA                 
HLL-114             2:00 PM - 3:20 PM        BUDD, TRACY                   
HLL-114             2:00 PM - 3:20 PM        JONES, TRISTAN                
ARC-108             8:45 AM - 9:40 AM        HYDAK, LAURA                  
HLL-114             2:00 PM - 3:20 PM        LOEB                          
HLL-114             2:00 PM - 3:20 PM        MORAN, DANIEL                 
ARC-207             8:45 AM - 9:40 AM        HOWLAND, DAVID                
HLL-114             2:00 PM - 3:20 PM        ALMS, ANTHONY                 
HLL-114             2:00 PM - 3:20 PM        BLOMQUIST, SARA               
SEC-220             8:45 AM - 9:40 AM        YOUNG, RASHEDA                
HLL-114             2:00 PM - 3:20 PM        MOLIN, PETER                  
HLL-114             2:00 PM - 3:20 PM        MUSAT, RALUCA                 
SEC-206             8:45 AM - 9:40 AM        MORRONE, PETER                
HLL-114             2:00 PM - 3:20 PM        EGBERT                        
HLL-114             2:00 PM - 3:20 PM        BASS, JONATHAN                
SEC-212             10:35 AM - 11:30 AM      PASCUZZI                      
SC-123              2:00 PM - 3:20 PM        PASCUZZI                      
SC-123              2:00 PM - 3:20 PM        MAGRINO                       
HLL-252             10:35 AM - 11:30 AM      DOW, DONALD                   
SC-123              2:00 PM - 3:20 PM        HAQQ-STEVENS                  
SC-123              2:00 PM - 3:20 PM        MAGRINO                       
HLL-248             10:35 AM - 11:30 AM      VENGADASALAM                  
SC-123              2:00 PM - 3:20 PM        VENGADASALAM                  
SC-123              2:00 PM - 3:20 PM        MASIELLO                      
LSH-B121            10:35 AM - 11:30 AM      BUZICK                        
SC-123              2:00 PM - 3:20 PM        FEDORKO, LAUREN               
SC-123              2:00 PM - 3:20 PM        FEDORKO, LAUREN               
ARC-203             12:25 PM - 1:20 PM       DELAURENTIS                   
SC-123              2:00 PM - 3:20 PM        DELAURENTIS                   
SC-123              2:00 PM - 3:20 PM        GOELLER                       
SEC-211             12:25 PM - 1:20 PM       FLYNN, JULIE                  
SC-123              2:00 PM - 3:20 PM        MCGOWAN, AUDREY               
SC-123              2:00 PM - 3:20 PM        ABATE, STACEY                 
LSH-B109            12:25 PM - 1:20 PM       WEICK, JOHN                   
SC-123              2:00 PM - 3:20 PM        HOWLAND, DAVID                
SC-123              2:00 PM - 3:20 PM        TEICHER, STUART               
ARC-110             2:15 PM - 3:10 PM        MESSINA, JOANN                
SC-123              2:00 PM - 3:20 PM        CICCHINO, MARC                
SC-123              2:00 PM - 3:20 PM        CAPONEGRO                     
ARC-108             2:15 PM - 3:10 PM        PERRYMAN, SARA                
SC-123              2:00 PM - 3:20 PM        LALLAS, DEMETRI               
SC-123              2:00 PM - 3:20 PM        BUDD, TRACY                   
ARC-205             2:15 PM - 3:10 PM        DOW, DONALD                   
SC-123              2:00 PM - 3:20 PM        BASS, JONATHAN                
SC-123              2:00 PM - 3:20 PM        DESORBO                       
ARC-203             2:15 PM - 3:10 PM        ZHANG, QISI                   
SC-123              2:00 PM - 3:20 PM        ZHANG, QISI                   
SC-123              2:00 PM - 3:20 PM        GOELLER                       
HLL-252             5:55 PM - 6:50 PM        GOELLER                       
SC-123              2:00 PM - 3:20 PM        VISCONTI                      
SC-123              2:00 PM - 3:20 PM        PUCCIO, MARYANN               
HLL-248             5:55 PM - 6:50 PM        PUCCIO, MARYANN               
SC-123              2:00 PM - 3:20 PM        ZEHALA                        
SC-123              2:00 PM - 3:20 PM        ZEHALA                        
BRR-5073            5:55 PM - 6:50 PM        TANNER, WILLOW                
SC-123              2:00 PM - 3:20 PM        TANNER, WILLOW                
SC-123              2:00 PM - 3:20 PM        FRUHLING                      
TIL-224             5:55 PM - 6:50 PM        FRUHLING                      
SC-123              2:00 PM - 3:20 PM        RENAUD, EMILY                 
SC-123              2:00 PM - 3:20 PM        RENAUD, EMILY                 
ARC-206             5:55 PM - 6:50 PM        BOUHLAS, ARETE                
SC-123              2:00 PM - 3:20 PM        BOUHLAS, ARETE                
SC-123              2:00 PM - 3:20 PM        WICKHAMSMITH                  
ARC-207             5:55 PM - 6:50 PM        WICKHAMSMITH                  
SC-123              2:00 PM - 3:20 PM        HUFKER, PAUL                  
SC-123              2:00 PM - 3:20 PM        HUFKER, PAUL                  
SEC-216             12:25 PM - 1:20 PM       MENDONEZ                      
SC-123              2:00 PM - 3:20 PM        LEVAO, RONALD                 
SC-123              2:00 PM - 3:20 PM        JAGER, COLIN                  
TIL-123             12:25 PM - 1:20 PM       SPELLMEYER                    
SC-123              2:00 PM - 3:20 PM        JACKSON                       
SC-123              2:00 PM - 3:20 PM        GOLDSTONE                     
LSH-B117            12:25 PM - 1:20 PM       KING, ANNIE                   
SC-123              2:00 PM - 3:20 PM        OMIROVA, DANA                 
SC-123              2:00 PM - 3:20 PM        LEVAO, RONALD                 
BE-213              12:25 PM - 1:20 PM       COIRO                         
SC-123              2:00 PM - 3:20 PM        DIEHL                         
SC-123              2:00 PM - 3:20 PM        ZITIN, ABIGAIL                
LSH-B205            5:55 PM - 6:50 PM        KING, ANNIE                   
SC-123              2:00 PM - 3:20 PM        SPELLMEYER                    
SC-123              2:00 PM - 3:20 PM        IANNINI                       
LSH-B111            5:55 PM - 6:50 PM        LAWRENCE                      
SC-123              2:00 PM - 3:20 PM        JOHNSON, DANIEL               
SC-123              2:00 PM - 3:20 PM        GOLDSTONE; ONUBOGU, IVANA     
BE-013              5:55 PM - 6:50 PM        IBIRONKE                      
AB-2125             2:00 PM - 3:20 PM        JACKSON                       
AB-2125             2:00 PM - 3:20 PM        KHAZANOV, PAVEL               
TIL-125             5:55 PM - 6:50 PM        ROBOLIN                       
AB-2125             2:00 PM - 3:20 PM        ALONGE, KEHINDE               
AB-2125             2:00 PM - 3:20 PM        SANDERS, JORDEN               
LSH-B121            12:25 PM - 1:20 PM                                     
AB-2125             2:00 PM - 3:20 PM                                      
AB-2125             2:00 PM - 3:20 PM        COIRO                         
TIL-123             10:35 AM - 11:30 AM      LAWRENCE                      
AB-2125             2:00 PM - 3:20 PM        OWENS, IMANI                  
AB-2125             2:00 PM - 3:20 PM        MILLER, RICHARD               
LSH-B109            12:25 PM - 1:20 PM                                     
AB-2125             2:00 PM - 3:20 PM        GOODLAD, LAUREN; LEWIS, CARLY 
AB-2125             2:00 PM - 3:20 PM        WALLACE; EDWARDS              
TIL-224             12:25 PM - 1:20 PM       ANDERSON, EMILY               
AB-2125             2:00 PM - 3:20 PM        BARRIENTOS                    
AB-2125             2:00 PM - 3:20 PM        BRONSTEIN                     
BE-013              12:25 PM - 1:20 PM       HUYLU, JOHN                   
AB-2125             2:00 PM - 3:20 PM        OBEROI, SHAURYA               
AB-2125             2:00 PM - 3:20 PM        IANNINI                       
LSH-B116            2:15 PM - 3:10 PM        IBIRONKE                      
AB-2125             2:00 PM - 3:20 PM        AYALA CAMARILLO               
AB-2125             2:00 PM - 3:20 PM        TSUDAMA                       
TIL-127             5:55 PM - 6:50 PM        MANGHARAM                     
AB-2125             2:00 PM - 3:20 PM        WILLIAMS                      
AB-2125             2:00 PM - 3:20 PM        JURECIC, ANN                  
TIL-125             5:55 PM - 6:50 PM        POWELL, ALISON                
SC-135              2:00 PM - 3:20 PM        GLISERMAN                     
SC-135              2:00 PM - 3:20 PM        EVANS, BRADLEY                
LSH-B121            5:55 PM - 6:50 PM                                      
SC-135              2:00 PM - 3:20 PM        KLEIN, STACY                  
SC-135              2:00 PM - 3:20 PM        NOVEMBER                      
LSH-A139            5:55 PM - 6:50 PM                                      
SC-135              2:00 PM - 3:20 PM        ABBAS, SADIA                  
SC-135              2:00 PM - 3:20 PM        ABBAS, SADIA                  
LSH-A140            10:35 AM - 11:30 AM      GOLDBERG, NANCY               
SC-135              2:00 PM - 3:20 PM        GOLDBERG, NANCY               
SC-135              2:00 PM - 3:20 PM        GOLDBERG, NANCY               
BE-119              8:45 AM - 9:40 AM        MALAMUG                       
SC-135              2:00 PM - 3:20 PM        GOLDBERG, NANCY               
SC-135              2:00 PM - 3:20 PM        ROBLES, JAVIER                
LSH-B121            4:05 PM - 5:00 PM        GOLDBERG, NANCY               
SC-135              2:00 PM - 3:20 PM        GOLDBERG, NANCY               
SC-135              2:00 PM - 3:20 PM        GOLDBERG, NANCY               
SEC-211             2:15 PM - 3:10 PM        MALAMUG                       
SC-135              2:00 PM - 3:20 PM        ROBLES, JAVIER                
SC-135              2:00 PM - 3:20 PM        GOLDBERG, NANCY               
SEC-220             8:45 AM - 9:40 AM        NAGLE, NICOLE                 
SC-135              2:00 PM - 3:20 PM        NAGLE, NICOLE                 
SC-135              2:00 PM - 3:20 PM        NAGLE, NICOLE                 
SEC-212             5:55 PM - 6:50 PM        BRZYCKI                       
SC-135              2:00 PM - 3:20 PM        BRZYCKI                       
SC-135              2:00 PM - 3:20 PM        GLADIS                        
LSH-B121            5:55 PM - 6:50 PM        GALLANTE                      
SC-135              2:00 PM - 3:20 PM        GLADIS                        
SC-135              2:00 PM - 3:20 PM        GLADIS                        
SEC-212             5:55 PM - 6:50 PM        GLADIS                        
SC-135              2:00 PM - 3:20 PM        GALLANTE                      
SC-135              2:00 PM - 3:20 PM        SIDOSSIS                      
SEC-216             5:55 PM - 6:50 PM        SIDOSSIS                      
SC-135              2:00 PM - 3:20 PM        DANDREA                       
SC-135              2:00 PM - 3:20 PM        ROSSMAN-MURPHY                
TIL-127             10:35 AM - 11:30 AM      ROSSMAN-MURPHY                
SC-135              2:00 PM - 3:20 PM        MUKHERJEE                     
SC-135              2:00 PM - 3:20 PM        MUKHERJEE                     
TIL-230             8:45 AM - 9:40 AM        DIVINE, ADAM                  
SC-135              2:00 PM - 3:20 PM        MUKHERJEE                     
SC-135              2:00 PM - 3:20 PM        MUKHERJEE                     
SEC-210             4:05 PM - 5:00 PM        MUKHERJEE                     
SC-135              2:00 PM - 3:20 PM        BATTILLO                      
SC-135              2:00 PM - 3:20 PM        MUKHERJEE                     
BE-013              2:15 PM - 3:10 PM        RUSSEK, JUSTYNA               
SC-135              2:00 PM - 3:20 PM        RUSSEK, JUSTYNA               
SC-135              2:00 PM - 3:20 PM        MUKHERJEE                     
SEC-208             8:45 AM - 9:40 AM        MUKHERJEE                     
SC-135              3:50 PM - 5:10 PM        POOLE, LUKE                   
SC-135              3:50 PM - 5:10 PM        SCHLITZER                     
BE-219              2:15 PM - 3:10 PM        DIVINE, ADAM                  
AB-2160             3:50 PM - 5:10 PM        HUMMEL                        
AB-2160             3:50 PM - 5:10 PM        MURRAY, MORGAN                
SEC-211             2:15 PM - 3:10 PM        MUKHERJEE                     
AB-2160             3:50 PM - 5:10 PM        ADAMSKI                       
AB-2160             3:50 PM - 5:10 PM        BUCKMAN                       
ARC-110             2:15 PM - 3:10 PM        DELLI PAOLI                   
AB-2160             3:50 PM - 5:10 PM        DELLI PAOLI                   
AB-2160             3:50 PM - 5:10 PM        MALAMUG                       
SEC-212             2:15 PM - 3:10 PM        MALAMUG                       
AB-2160             3:50 PM - 5:10 PM        DESTEFANO                     
AB-2160             3:50 PM - 5:10 PM        DESTEFANO                     
BE-013              5:55 PM - 6:50 PM        DESTEFANO                     
AB-2160             3:50 PM - 5:10 PM        DESTEFANO                     
AB-2160             3:50 PM - 5:10 PM        ROBLES, JAVIER                
LSH-B121            5:55 PM - 6:50 PM        ROBLES, JAVIER                
AB-2160             3:50 PM - 5:10 PM        SPAETH, ANDREA                
AB-2160             3:50 PM - 5:10 PM        ROSSMAN-MURPHY                
SEC-211             5:55 PM - 6:50 PM        MURRAY, MORGAN                
AB-2160             3:50 PM - 5:10 PM        DIVINE, ADAM                  
AB-2160             3:50 PM - 5:10 PM        MANFREDONIA                   
SEC-220             5:55 PM - 6:50 PM        MANFREDONIA                   
AB-2160             3:50 PM - 5:10 PM        CAMPBELL, SARA                
AB-2160             3:50 PM - 5:10 PM        CAMPBELL, SARA                
ARC-207             4:05 PM - 5:00 PM        MURRAY, MORGAN; MURRAY, MORGAN
AB-2160             3:50 PM - 5:10 PM        REMCHAK; MURRAY, MORGAN       
AB-2160             3:50 PM - 5:10 PM        MURRAY, MORGAN; MURRAY, MORGAN
SEC-212             4:05 PM - 5:00 PM        MURRAY, MORGAN; SNYDER, KAITLYN
AB-2160             3:50 PM - 5:10 PM        KUSHKESTANI; MURRAY, MORGAN   
AB-2160             3:50 PM - 5:10 PM        DIVINE, ADAM; MURRAY, MORGAN  
SEC-207             4:05 PM - 5:00 PM        MURRAY, MORGAN; REMCHAK       
AB-2160             3:50 PM - 5:10 PM        MURRAY, MORGAN; SNYDER, KAITLYN
AB-2160             3:50 PM - 5:10 PM        MURRAY, MORGAN; MURRAY, MORGAN
HLL-009             4:05 PM - 5:00 PM        KUSHKESTANI; MURRAY, MORGAN   
AB-2160             3:50 PM - 5:10 PM        MURRAY, MORGAN; MURRAY, MORGAN
AB-2160             3:50 PM - 5:10 PM        MALIN, STEVEN                 
ARC-205             12:25 PM - 1:20 PM       NAGLE, NICOLE                 
AB-2160             3:50 PM - 5:10 PM        NAGLE, NICOLE                 
AB-2160             3:50 PM - 5:10 PM        HUNT, JOANNE                  
LSH-A139            12:25 PM - 1:20 PM       KOKKINOS, PETER               
AB-2160             3:50 PM - 5:10 PM        ALDERMAN                      
AB-2160             3:50 PM - 5:10 PM        CAMPBELL, SARA; ANTHONY, TRACY
SEC-202             12:25 PM - 1:20 PM       BUCKMAN                       
AB-2160             3:50 PM - 5:10 PM        SPAETH, ANDREA                
AB-2160             3:50 PM - 5:10 PM        HUNT, JOANNE                  
SEC-203             12:25 PM - 1:20 PM       HUNT, JOANNE                  
AB-2160             3:50 PM - 5:10 PM        HUNT, JOANNE                  
AB-2160             3:50 PM - 5:10 PM        HUNT, JOANNE                  
SEC-205             12:25 PM - 1:20 PM       ISAACS, JENNY                 
AB-2160             8:30 AM - 9:50 AM                                      
AB-2160             8:30 AM - 9:50 AM                                      
SEC-207             7:45 PM - 8:40 PM        KAHAKEU DEFFO                 
HLL-114             8:30 AM - 9:50 AM        ALAMI, MYRIAM                 
HLL-114             8:30 AM - 9:50 AM        KARMARKAR                     
LSH-A139            7:45 PM - 8:40 PM        TROIANO, RENEE                
HLL-114             8:30 AM - 9:50 AM        KUMARI, SHIVANI               
HLL-114             8:30 AM - 9:50 AM        MOZAFFARI, NEDA               
LSH-A140            7:45 PM - 8:40 PM        POWER                         
HLL-114             8:30 AM - 9:50 AM        YU, WENJING                   
HLL-114             8:30 AM - 9:50 AM        ALAMI, MYRIAM                 
BE-111              7:45 PM - 8:40 PM        KARMARKAR                     
HLL-114             8:30 AM - 9:50 AM        MITCHELL                      
HLL-114             8:30 AM - 9:50 AM        PAIRET VINAS                  
BE-101              5:55 PM - 6:50 PM        JEAN-BAPTISTE                 
HLL-114             8:30 AM - 9:50 AM        JEAN-BAPTISTE                 
HLL-114             8:30 AM - 9:50 AM        SWENSON, JAMES                
LSH-B123            5:55 PM - 6:50 PM        ALLAMAND                      
HLL-114             8:30 AM - 9:50 AM        TAMAS, JENNIFER; DE REVIERS DE M
HLL-114             8:30 AM - 9:50 AM        TAMAS, JENNIFER; SKIDMORE     
TIL-125             5:55 PM - 6:50 PM        TAMAS, JENNIFER; DELEGER, OUAFAA
HLL-114             8:30 AM - 9:50 AM        TAMAS, JENNIFER; STREETER     
HLL-114             8:30 AM - 9:50 AM        YU, WENJING                   
LSH-B116            5:55 PM - 6:50 PM        ALLAMAND                      
HLL-114             8:30 AM - 9:50 AM        MITCHELL                      
HLL-114             8:30 AM - 9:50 AM        SWENSON, JAMES                
TIL-224             8:45 AM - 9:40 AM                                      
HLL-114             8:30 AM - 9:50 AM        ALLAMAND                      
HLL-114             8:30 AM - 9:50 AM                                      
LSH-A139            8:45 AM - 9:40 AM                                      
HLL-114             8:30 AM - 9:50 AM                                      
HLL-114             8:30 AM - 9:50 AM                                      
BE-252              8:45 AM - 9:40 AM                                      
HLL-114             8:30 AM - 9:50 AM        ELLISON                       
HLL-114             8:30 AM - 9:50 AM        AXELROD, DAVID                
LSH-B109            8:45 AM - 9:40 AM        SCHINDLER                     
HLL-114             8:30 AM - 9:50 AM        SCHINDLER                     
HLL-114             8:30 AM - 9:50 AM        BERGEY                        
TIL-125             8:45 AM - 9:40 AM        BERGEY                        
HLL-114             8:30 AM - 9:50 AM        SINGSON, ANDREW               
HLL-114             8:30 AM - 9:50 AM        SINGSON, ANDREW               
LSH-B121            8:45 AM - 9:40 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
HLL-114             8:30 AM - 9:50 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
HLL-114             8:30 AM - 9:50 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
BE-119              8:45 AM - 9:40 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
HLL-114             8:30 AM - 9:50 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
HLL-114             8:30 AM - 9:50 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
LSH-B109            8:45 AM - 9:40 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
ARC-103             8:30 AM - 9:50 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
ARC-103             8:30 AM - 9:50 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
SEC-211             8:45 AM - 9:40 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
ARC-103             8:30 AM - 9:50 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
ARC-103             8:30 AM - 9:50 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
ARC-206             8:45 AM - 9:40 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
ARC-103             8:30 AM - 9:50 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
ARC-103             8:30 AM - 9:50 AM        GLODOWSKI TROTT; GLODOWSKI TROTT
SEC-218             8:45 AM - 9:40 AM        SOLIMAN, MAI; SOLIMAN, MAI    
ARC-103             8:30 AM - 9:50 AM        SOLIMAN, MAI; SOLIMAN, MAI    
ARC-103             8:30 AM - 9:50 AM        SOLIMAN, MAI; SOLIMAN, MAI    
SEC-218             8:45 AM - 9:40 AM        SOLIMAN, MAI; SOLIMAN, MAI    
ARC-103             8:30 AM - 9:50 AM        SOLIMAN, MAI; SOLIMAN, MAI    
ARC-103             8:30 AM - 9:50 AM        SOLIMAN, MAI; SOLIMAN, MAI    
SEC-218             8:45 AM - 9:40 AM        GLODOWSKI TROTT               
ARC-103             8:30 AM - 9:50 AM        GLODOWSKI TROTT               
ARC-103             8:30 AM - 9:50 AM        GORDON, DEREK                 
SEC-218             12:25 PM - 1:20 PM       GORDON, DEREK                 
ARC-103             8:30 AM - 9:50 AM        GORDON, DEREK                 
ARC-103             8:30 AM - 9:50 AM        GORDON, DEREK                 
SEC-206             12:25 PM - 1:20 PM       GORDON, DEREK                 
ARC-103             8:30 AM - 9:50 AM        GORDON, DEREK                 
ARC-103             8:30 AM - 9:50 AM        GORDON, DEREK                 
SEC-218             12:25 PM - 1:20 PM       GORDON, DEREK                 
ARC-103             8:30 AM - 9:50 AM        GORDON, DEREK                 
ARC-103             8:30 AM - 9:50 AM        GORDON, DEREK                 
SEC-217             12:25 PM - 1:20 PM       VERZI, MICHAEL; YADAVALLI     
TIL-264             8:30 AM - 9:50 AM        VERZI, MICHAEL; YADAVALLI     
TIL-264             8:30 AM - 9:50 AM        VERZI, MICHAEL; YADAVALLI     
BRR-5101            10:35 AM - 11:30 AM      VERZI, MICHAEL; YADAVALLI     
TIL-264             8:30 AM - 9:50 AM        SOLIMAN, MAI                  
TIL-264             8:30 AM - 9:50 AM        SOLIMAN, MAI                  
BRR-4073            10:35 AM - 11:30 AM      SOLIMAN, MAI                  
TIL-264             8:30 AM - 9:50 AM        SOLIMAN, MAI                  
TIL-264             8:30 AM - 9:50 AM        SOLIMAN, MAI                  
BRR-5113            10:35 AM - 11:30 AM      SOLIMAN, MAI                  
TIL-264             8:30 AM - 9:50 AM        HEIMAN, GARY                  
TIL-264             8:30 AM - 9:50 AM        HEIMAN, GARY                  
BE-253              10:35 AM - 11:30 AM      HEIMAN, GARY                  
ARC-103             8:30 AM - 9:50 AM        AXELROD, DAVID                
ARC-103             8:30 AM - 9:50 AM        HEIMAN, GARY                  
ARC-207             5:55 PM - 6:50 PM        YU, LEI                       
ARC-103             8:30 AM - 9:50 AM        YU, LEI                       
ARC-103             8:30 AM - 9:50 AM        JAIN, DEVANSHI                
RWH-208             5:55 PM - 6:50 PM        HEIMAN, GARY                  
AB-2125             8:30 AM - 9:50 AM        HEIMAN, GARY                  
AB-2125             8:30 AM - 9:50 AM        RENNERMALM, ASA               
AB-1210             5:55 PM - 6:50 PM        ELESWARAPU                    
AB-2125             2:00 PM - 3:20 PM        O'KEEFE, PAUL                 
AB-2125             2:00 PM - 3:20 PM        ELESWARAPU                    
AB-1230             8:45 AM - 9:40 AM        GABRIEL                       
AB-2125             2:00 PM - 3:20 PM        ISAACS, JENNY                 
AB-2125             2:00 PM - 3:20 PM        GABRIEL                       
AB-1210             12:25 PM - 1:20 PM       GANGADHARAN ARV; CAMBRIDGE, NIA
AB-2125             2:00 PM - 3:20 PM        ROBINSON, DAVID               
AB-2125             2:00 PM - 3:20 PM        ISAACS, JENNY                 
AB-1220             5:55 PM - 6:50 PM        BARONE, DANIEL                
AB-2125             2:00 PM - 3:20 PM        BARONE, DANIEL                
AB-2125             2:00 PM - 3:20 PM        SIEGEL, MICHAEL               
AB-1210             4:05 PM - 5:00 PM        SIEGEL, MICHAEL               
AB-2125             2:00 PM - 3:20 PM        MARSTON, ANDREA               
AB-2125             2:00 PM - 3:20 PM                                      
AB-1230             2:15 PM - 3:10 PM                                      
AB-2125             2:00 PM - 3:20 PM                                      
AB-2125             2:00 PM - 3:20 PM        PLETKA, CRYSTAL               
AB-1220             10:35 AM - 11:30 AM      HANAFI, BARI                  
AB-2125             2:00 PM - 3:20 PM        ADAMO, LAUREN; DOHERTY        
AB-2125             2:00 PM - 3:20 PM        HANAFI, BARI                  
AB-1210             7:45 PM - 8:40 PM        ADAMO, LAUREN; DI MAIO        
AB-2125             2:00 PM - 3:20 PM        ADAMO, LAUREN; DORAN, KRYSTYNA
AB-2125             2:00 PM - 3:20 PM        KINNEY, SEAN                  
AB-1230             7:45 PM - 8:40 PM        KINNEY, SEAN                  
AB-2125             2:00 PM - 3:20 PM        SWISHER, CARL                 
AB-2125             2:00 PM - 3:20 PM        SWISHER, CARL                 
AB-1210             2:15 PM - 3:10 PM        SWISHER, CARL                 
