Building/Room       Class Times              Professor Names               
VD-211              7:30 PM - 10:30 PM       SIFUENTES-JAURE               
FNH-101             12:10 PM - 1:30 PM       SWEET, JAMESON                
FNH-101             5:40 PM - 7:00 PM        WILLIAMSON                    
HSB-106             5:40 PM - 7:00 PM        LASMANA, VIOLA                
HSB-106             3:50 PM - 5:10 PM        MCELHINNEY                    
HCK-112             3:50 PM - 5:10 PM        MCELHINNEY                    
HCK-112             10:20 AM - 11:40 AM      SWEET, JAMESON                
RAB-105             10:20 AM - 11:40 AM      MOOMJY, THOMAS                
RAB-018             8:30 AM - 9:50 AM        DECKER                        
RAB-018             8:30 AM - 9:50 AM        LEPPLA, DOMINIC               
TIL-204             3:50 PM - 5:10 PM        MCELHINNEY                    
TIL-204             3:50 PM - 5:10 PM        ZEMLA                         
TIL-207             2:00 PM - 3:20 PM        DELOSSANTOS                   
TIL-207             2:00 PM - 3:20 PM        DECKER                        
BE-AUD              2:00 PM - 3:20 PM        KENNEDY, MARIA                
BE-AUD              2:00 PM - 3:20 PM        ISAAC, ALLAN                  
BE-253              2:00 PM - 3:20 PM        ALMIRON                       
BE-253              2:00 PM - 3:20 PM        CHAN-MALIK                    
ARH-100             5:40 PM - 7:00 PM        DECKER                        
ARH-100             5:40 PM - 7:00 PM        GILLESPIE                     
RAB-110B            2:00 PM - 3:20 PM        LASMANA, VIOLA                
RAB-110B            2:00 PM - 3:20 PM        MASUR, LOUIS                  
RAB-001             3:50 PM - 5:10 PM        SIFUENTES-JAURE               
RAB-001             3:50 PM - 5:10 PM        SWEET, JAMESON                
RAB-001             10:20 AM - 1:20 PM       WILLIAMSON                    
TIL-103A            10:20 AM - 11:40 AM      ISAAC, ALLAN                  
FH-B6               10:20 AM - 11:40 AM      ALMIRON                       
MI-100              8:30 AM - 9:50 AM        CHAN-MALIK                    
MI-100              8:30 AM - 9:50 AM        DECKER                        
RAB-105             5:40 PM - 7:00 PM        GILLESPIE                     
HH-B3               5:40 PM - 7:00 PM        KENNEDY, MARIA                
HH-B3               5:40 PM - 7:00 PM        LASMANA, VIOLA                
HCK-216             5:40 PM - 7:00 PM        MASUR, LOUIS                  
HCK-216             12:10 PM - 1:30 PM       SIFUENTES-JAURE               
AB-4140             12:10 PM - 1:30 PM       SWEET, JAMESON                
AB-4140             3:50 PM - 5:10 PM        WILLIAMSON                    
AB-4140             3:50 PM - 5:10 PM        CEVASCO, CARLA                
RAB-110B            2:00 PM - 3:20 PM        AL-DEWACHI; SARGENT, CIERAH   
ZAM-MPR             2:00 PM - 3:20 PM        AL-DEWACHI; SARGENT, CIERAH   
ZAM-MPR             5:40 PM - 7:00 PM        AL-DEWACHI; SARGENT, CIERAH   
RAB-018             5:40 PM - 7:00 PM        AL-DEWACHI; BODA, MANOHAR     
