Class Name                                        Building/Room       Class Times              Professor Names               
01:506:495                                        TIL-232             10:35 AM - 11:30 AM                                    
HONORS PROG IN HIST                               TIL-232             7:30 PM - 8:50 PM                                      
01:506:496                                        TIL-232             7:30 PM - 8:50 PM                                      
HONORS PROG IN HIST                               AB-4400             4:05 PM - 5:00 PM                                      
01:508:212                                        AB-4400             7:30 PM - 8:50 PM                                      
ISRAELI-PALESTINAN CONFLICT                       RWH-105             7:30 PM - 8:50 PM                                      
01:508:220                                        RWH-105             10:35 AM - 11:30 AM                                    
ANCIENT AFRICA                                    RWH-105             7:30 PM - 8:50 PM        SORENSEN, LARS                
01:508:242                                        RWH-105             7:30 PM - 8:50 PM        SORENSEN, LARS                
MODERN EAST ASIA                                  RWH-105             4:05 PM - 5:00 PM        SORENSEN, LARS                
01:508:243                                        RWH-105             7:30 PM - 8:50 PM        SORENSEN, LARS                
WAR AND SOCIETY IN EARLY MODERN EAST ASIA: HIDEYOSHI IN..RWH-105             7:30 PM - 8:50 PM        SORENSEN, LARS                
01:508:246                                        RWH-105             5:55 PM - 6:50 PM        SORENSEN, LARS                
HIST CHINESE CIVILZN                              RWH-105             7:30 PM - 8:50 PM        SORENSEN, LARS                
01:508:272                                        RWH-105             7:30 PM - 8:50 PM        SORENSEN, LARS                
HST CARIB SINCE 1898                              RWH-105             5:55 PM - 6:50 PM        SORENSEN, LARS                
01:508:280                                        RWH-105             7:30 PM - 8:50 PM        SORENSEN, LARS                
EARLY NATIVE AM HIST                              RWH-105             7:30 PM - 8:50 PM        SORENSEN, LARS                
01:508:349                                        RWH-105             2:15 PM - 3:10 PM        SORENSEN, LARS                
MODERN CHINA THROUGH FILM AND FICTION             RWH-105             12:25 PM - 1:20 PM       SORENSEN, LARS                
01:510:101                                        BE-050              12:25 PM - 1:20 PM       SORENSEN, LARS                
ANCIENT AND MEDIEVAL EUROPE                       BE-051              12:25 PM - 1:20 PM       SORENSEN, LARS                
01:510:209                                        BE-052              9:35 PM - 10:30 PM       SORENSEN, LARS                
EMERGENCE MEDIEV EUR                              BE-053              12:25 PM - 1:20 PM       SORENSEN, LARS                
01:510:213                                        BE-152              12:25 PM - 1:20 PM       SORENSEN, LARS                
THE CRUSADES                                      BE-050              12:25 PM - 1:20 PM       SORENSEN, LARS                
01:510:232                                        BE-051              7:45 PM - 8:40 PM        SORENSEN, LARS                
FASHION &amp; DESIGN IN EUROPE: BETWEEN THE WEST AND THE WO..BE-052              12:25 PM - 1:20 PM       SORENSEN, LARS                
01:510:248                                        BE-053              12:25 PM - 1:20 PM       SORENSEN, LARS                
THE LAST CLIMATE CRISIS: HISTORIES      OF THE "LITTLE ..BE-152              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:510:261                                        BE-153              7:30 PM - 8:25 PM        GOEL, APOORVA                 
HISTORY OF THE HOLOCAUST                          BE-050              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:510:305                                        BE-051              12:25 PM - 1:20 PM       GOEL, APOORVA                 
THE CRISIS OF THE ROMAN REPUBLIC                  BE-052              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:510:313                                        BE-053              5:55 PM - 6:50 PM        GOEL, APOORVA                 
MEDIEVAL SPAIN:MUSLIMS, CHRISTIANS AND  JEWS      BE-152              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:510:317                                        BE-153              12:25 PM - 1:20 PM       GOEL, APOORVA                 
THE RENAISSANCE                                   BE-050              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:510:319                                        BE-051              7:45 PM - 8:40 PM        GOEL, APOORVA                 
AGE OF REFORMATION                                BE-052              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:510:327                                        BE-053              12:25 PM - 1:20 PM       GOEL, APOORVA                 
20TH CENTURY EUROPE                               BE-152              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:510:338                                        BE-153              12:25 PM - 1:20 PM       GOEL, APOORVA                 
ENGLAND IN MID AGES                               BE-050              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:510:349                                        BE-051              12:25 PM - 1:20 PM       GOEL, APOORVA                 
MODERN BRITAIN                                    BE-052              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:510:401                                        BE-053              4:05 PM - 5:00 PM        GOEL, APOORVA                 
THE IDEA OF EUROPE                                BE-152              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:512:103                                        BE-153              12:25 PM - 1:20 PM       GOEL, APOORVA                 
MAKING OF AMERICA: COLONIZATION TO CIVIL WAR      BE-050              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:512:216                                        BE-051              8:45 AM - 9:40 AM        GOEL, APOORVA                 
FAMOUS TRIALS                                     BE-052              12:25 PM - 1:20 PM       GOEL, APOORVA                 
01:512:229                                        BE-053              12:25 PM - 1:20 PM       GUNAWARDENA                   
HISTORY OF MEDICAL ETHICS                         BE-152              12:25 PM - 1:20 PM       GUNAWARDENA                   
01:512:235                                        BE-153              5:55 PM - 6:50 PM        GUNAWARDENA                   
ACCIDENTS AND DISASTERS IN THE U.S. AND THE WORLD BE-050              12:25 PM - 1:20 PM       GUNAWARDENA                   
01:512:240                                        BE-051              12:25 PM - 1:20 PM       GUNAWARDENA                   
WORLD WAR I                                       BE-052              12:25 PM - 1:20 PM       GUNAWARDENA                   
01:512:278                                        BE-053              4:05 PM - 5:00 PM        GUNAWARDENA                   
POPULAR MUSIC AM HST                              BE-152              12:25 PM - 1:20 PM       GUNAWARDENA                   
01:512:300                                        BE-153              12:25 PM - 1:20 PM       GUNAWARDENA                   
HISTORY COL AMERICA                               HSB-001A            12:25 PM - 1:20 PM       CENTENO                       
01:512:305                                        HSB-001B            8:45 AM - 9:40 AM        CENTENO                       
U.S. HISTORY, 1914-1945                           HSB-001C            12:25 PM - 1:20 PM       CENTENO                       
01:512:316                                        HSB-001A            12:25 PM - 1:20 PM       CENTENO                       
RADICALISM IN AMER                                HSB-001B            12:25 PM - 1:20 PM       CENTENO                       
01:512:329                                        HSB-001C            12:25 PM - 1:20 PM       CENTENO                       
TECHNOLOGY &amp; NATURE IN AMERICAN HISTORY       CDL-110             8:45 AM - 9:40 AM        CENTENO                       
01:512:347                                        CDL-110             8:45 AM - 9:40 AM        CENTENO                       
WAR PEAC &amp; MILIT IN US                        HSB-108             8:45 AM - 9:40 AM        CENTENO                       
01:512:351                                        HSB-108             7:45 PM - 8:40 PM        CENTENO                       
MEXICAN AMERICAN HISTORY                          CCB-1203            8:45 AM - 9:40 AM        CENTENO                       
01:512:354                                        WL-186              8:45 AM - 9:40 AM        CENTENO                       
AMERICA, RUSSIA, AND THE COLD WAR                 CCB-1203            8:45 AM - 9:40 AM        CENTENO                       
01:512:391                                        WL-186              2:15 PM - 3:10 PM        CENTENO                       
HISTORICAL STUDIES                                CCB-1203            8:45 AM - 9:40 AM        CENTENO                       
01:556:120                                        WL-186              8:45 AM - 9:40 AM        CENTENO                       
HUMAN BIOLOGY AND HEALTH                          ARC-103             8:45 AM - 9:40 AM        CENTENO                       
01:556:221                                        ARC-103             12:25 PM - 1:20 PM       GOEL, APOORVA                 
ARESTY RESEARCH ASSISTANT PROGRAM                 ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
01:556:240                                        ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
STEM PROFESSIONAL DEVELOPMENT WITH      INDUSTRY PERSPE..ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
01:556:327                                        ARC-103             5:55 PM - 6:50 PM        GOEL, APOORVA                 
SPECIAL TOPICS                                    ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
01:556:328                                        ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
INTERDISCIPLINARY RESEARCH TEAMS                  ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
01:556:491                                        ARC-103             12:25 PM - 1:20 PM       GOEL, APOORVA                 
INDEPENDENT STUDY                                 ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
01:558:101                                        ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
GLOBAL AWARENESS: AN INTRODUCTION TO INTERNATIONAL AND ..ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
01:560:101                                        ARC-103             12:25 PM - 1:20 PM       GOEL, APOORVA                 
ELEMENTARY ITALIAN                                ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
01:560:102                                        ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
ELEMENTARY ITALIAN                                ARC-103             8:45 AM - 9:40 AM        GOEL, APOORVA                 
01:560:105                                        ARC-103             12:25 PM - 1:20 PM       GOEL, APOORVA                 
ITAL FOR RDG KNOWLDG                              HCK-101             8:45 AM - 9:40 AM        CHANG, LILY                   
01:560:121                                        HCK-101             8:45 AM - 9:40 AM        CHANG, LILY                   
ITALIAN REVIEW                                    HCK-101             8:45 AM - 9:40 AM        CHANG, LILY                   
01:560:131                                        HCK-101             12:25 PM - 1:20 PM       CHANG, LILY                   
INTERMEDIATE ITALIAN                              HCK-101             2:15 PM - 3:10 PM        CHANG, LILY                   
01:560:132                                        HCK-101             2:15 PM - 3:10 PM        CHANG, LILY                   
INTERMEDIATE ITALIAN                              HCK-101             2:15 PM - 3:10 PM        CHANG, LILY                   
01:560:231                                        HCK-101             10:35 AM - 11:30 AM      CHANG, LILY                   
ITALIAN CULTURE                                   HCK-101             7:30 PM - 8:50 PM        CHANG, LILY                   
01:560:232                                        HCK-101             7:30 PM - 8:50 PM        CHANG, LILY                   
ITALIAN CULTURE                                   HLL-114             7:45 PM - 8:40 PM        CHANG, LILY                   
01:560:248                                        HLL-114             7:30 PM - 8:50 PM        CHANG, LILY                   
A CULTURAL TOUR OF ITALY                          HLL-114             7:30 PM - 8:50 PM        CHANG, LILY                   
01:560:250                                        HLL-114             7:45 PM - 8:40 PM        CHANG, LILY                   
WRITING WORKSHOP                                  HLL-114             7:30 PM - 8:50 PM        CHANG, LILY                   
01:560:256                                        HLL-114             7:30 PM - 8:50 PM        IMIELINSKI                    
INTRODUCING ITALY: CITY BY CITY                   HLL-114             5:55 PM - 6:50 PM        IMIELINSKI                    
01:560:258                                        HLL-114             7:30 PM - 8:50 PM        IMIELINSKI                    
ITALIAN ICONS                                     HLL-114             7:30 PM - 8:50 PM        IMIELINSKI                    
01:560:268                                        HLL-114             5:55 PM - 6:50 PM        IMIELINSKI                    
WALKING IN THE CITY                               HLL-114             7:30 PM - 8:50 PM        IMIELINSKI                    
01:560:321                                        HLL-114             7:30 PM - 8:50 PM        IMIELINSKI                    
ADVANCED CONVERSATION THROUGH CURRENT EVENTS      HLL-114             4:05 PM - 5:00 PM        IMIELINSKI                    
01:560:393                                        HLL-114             7:30 PM - 8:50 PM        IMIELINSKI                    
INDPT STUDY ITALIAN                               SC-123              7:30 PM - 8:50 PM        MARDEKIAN, JACK               
01:560:495                                        SC-123              2:15 PM - 3:10 PM        MARDEKIAN, JACK               
HONORS IN ITALIAN                                 SC-123              7:30 PM - 8:50 PM        MARDEKIAN, JACK               
01:563:100                                        SC-123              7:30 PM - 8:50 PM        MARDEKIAN, JACK               
INTRODUCTION TO THE MODERN MIDDLE EAST            SC-123              7:45 PM - 8:40 PM        IMIELINSKI                    
01:563:101                                        SC-123              7:30 PM - 8:50 PM        IMIELINSKI                    
ELEM MODERN HEBREW                                SC-123              7:30 PM - 8:50 PM        LAU, ARNOLD                   
01:563:103                                        SC-123              7:45 PM - 8:40 PM        LAU, ARNOLD                   
ELEM MODERN YIDDISH                               SC-123              7:30 PM - 8:50 PM        LAU, ARNOLD                   
01:563:131                                        SC-123              7:30 PM - 8:50 PM        LAU, ARNOLD                   
INTERMED MOD HEBREW                               CCB-1209            5:55 PM - 6:50 PM        LAU, ARNOLD                   
01:563:141                                        WL-331A             7:30 PM - 8:50 PM        LAU, ARNOLD                   
BIBLICAL HEBREW I                                 CCB-1209            7:30 PM - 8:50 PM        LAU, ARNOLD                   
01:563:146                                        WL-331A             4:05 PM - 5:00 PM        LAU, ARNOLD                   
THE BIBLE IN ARAMAIC                              CCB-1209            7:30 PM - 8:50 PM        LAU, ARNOLD                   
01:563:201                                        WL-331A             7:30 PM - 8:50 PM        LAU, ARNOLD                   
JEWISH HISTORY I: ANCIENT AND MEDIEVAL            ARC-103             5:55 PM - 6:50 PM        LAU, ARNOLD                   
01:563:210                                        WL-331A             10:20 AM - 11:40 AM      LAU, ARNOLD                   
ADV MODERN HEBREW                                 ARC-103             10:20 AM - 11:40 AM      HAJDU, JOHN                   
01:563:220                                        WL-331A             10:35 AM - 11:30 AM      HAJDU, JOHN                   
INTRODUCTION TO THE BIBLE I: TORAH AND PROSE      ARC-103             10:20 AM - 11:40 AM      HAJDU, JOHN                   
01:563:223                                        WL-331A             10:20 AM - 11:40 AM      HAJDU, JOHN                   
NEW TESTAMENT                                     ARC-103             10:20 AM - 11:40 AM      HAJDU, JOHN                   
01:563:261                                        WL-331A             8:45 AM - 9:40 AM        HAJDU, JOHN                   
HISTORY OF THE HOLOCAUST                          ARC-103             8:45 AM - 9:40 AM        HAJDU, JOHN                   
01:563:281                                        WL-331B             10:20 AM - 11:40 AM      HAJDU, JOHN                   
MODERN ISRAELI CULTURE                            ARC-103             10:20 AM - 11:40 AM      HAJDU, JOHN                   
01:563:282                                        WL-331B             10:20 AM - 11:40 AM      HAJDU, JOHN                   
ISRAELI-PALESTINIAN CONFLICT                      ARC-103             10:35 AM - 11:30 AM      HAJDU, JOHN                   
01:563:307                                        WL-331B             10:35 AM - 11:30 AM      HAJDU, JOHN                   
MEDIEVAL SPAIN:MUSLIMS, CHRISTIANS AND  JEWS      ARC-103             10:20 AM - 11:40 AM      FUENTES                       
01:563:351                                        WL-331B             10:20 AM - 11:40 AM      FUENTES                       
CONT POLITICS MIDEAS                              ARC-103             10:20 AM - 11:40 AM      FUENTES                       
01:563:460                                        WL-331B             12:25 PM - 1:20 PM       FUENTES                       
JEWISH STDYS INTERN                               CDL-102             12:25 PM - 1:20 PM       FUENTES                       
01:563:491                                        HSB-108             10:20 AM - 11:40 AM      FUENTES                       
INDEPENDENT STUDY                                 CDL-102             10:20 AM - 11:40 AM      FUENTES                       
01:563:496                                        HSB-108             10:20 AM - 11:40 AM      FUENTES                       
SENIOR HONORS                                     CDL-102             2:15 PM - 3:10 PM        FUENTES                       
01:565:101                                        HSB-108             2:15 PM - 3:10 PM        FUENTES                       
ELEMENTARY JAPANESE                               CDL-102             10:20 AM - 11:40 AM      FUENTES                       
01:565:102                                        HSB-108             10:20 AM - 11:40 AM      FUENTES                       
ELEMENTARY JAPANESE                               ARC-103             10:20 AM - 11:40 AM      FUENTES                       
01:565:103                                        WL-331B             4:05 PM - 5:00 PM        MIRANDA GARCIA                
INTRO JAPAN WRITING                               ARC-103             4:05 PM - 5:00 PM        MIRANDA GARCIA                
01:565:201                                        WL-331B             10:20 AM - 1:20 PM       MIRANDA GARCIA                
INTERMEDIATE JAPANESE                             ARC-103             10:20 AM - 1:20 PM       GUNAWARDENA                   
01:565:210                                        WL-331B             10:20 AM - 1:20 PM       GUNAWARDENA                   
INTRODUCTION TO JAPANESE CULTURE                  ARC-103             10:20 AM - 1:20 PM       GUNAWARDENA                   
01:565:301                                        WL-331A             10:20 AM - 1:20 PM       BITTNER, DANIEL               
ADVANCED JAPANESE                                 ARC-103             2:00 PM - 5:00 PM        BITTNER, DANIEL               
01:565:313                                        WL-331B             2:00 PM - 5:00 PM        BITTNER, DANIEL               
ADV JAPANESE CONV                                 ARC-103             2:00 PM - 5:00 PM        BITTNER, DANIEL               
01:565:362                                        WL-331A             2:00 PM - 5:00 PM        BITTNER, DANIEL               
JAPANESE POP CULTURE                              ARC-103             2:00 PM - 5:00 PM        MIRANDA GARCIA                
01:565:401                                        WL-331B             2:00 PM - 5:00 PM        MIRANDA GARCIA                
ADV READINGS IN JPN                               ARC-103             10:20 AM - 1:20 PM       MICHMIZOS                     
01:565:471                                        WL-331A             10:20 AM - 1:20 PM       MICHMIZOS                     
YUKIO MISHIMA: HIS FICTIONS AND GLOBAL  LITERARY LEGACYARC-103             10:20 AM - 1:20 PM       MICHMIZOS                     
01:565:495                                        WL-331B             10:20 AM - 1:20 PM       GHOLIZADEH HAMI               
INDEPENDENT STUDY                                 CCB-1303            10:20 AM - 1:20 PM       GHOLIZADEH HAMI               
01:565:497                                        CCB-1303            10:20 AM - 1:20 PM       GHOLIZADEH HAMI               
HONORS IN JAPANESE                                CCB-1303            2:00 PM - 5:00 PM        GHOLIZADEH HAMI               
01:574:101                                        CCB-1303            2:00 PM - 5:00 PM        GHOLIZADEH HAMI               
ELEMENTARY KOREAN                                 CCB-1303            2:00 PM - 5:00 PM        GHOLIZADEH HAMI               
01:574:102                                        CCB-1303            2:00 PM - 5:00 PM        GHOLIZADEH HAMI               
ELEMENTARY KOREAN                                 LSH-B267            2:00 PM - 5:00 PM        GHOLIZADEH HAMI               
01:574:103                                        LSH-B267            2:00 PM - 5:00 PM        BLACKMORE, JOHN               
BEGINNING KOREAN READING AND WRITING FORHERITAGE STUDEN..LSH-B267            10:20 AM - 1:20 PM       BLACKMORE, JOHN               
01:574:201                                        LSH-B267            10:20 AM - 1:20 PM       BLACKMORE, JOHN               
INTERMEDIATE KOREAN                               BRR-3071            10:20 AM - 1:20 PM       BLACKMORE, JOHN               
01:574:202                                        BRR-3071            10:20 AM - 1:20 PM       BLACKMORE, JOHN               
INTERMEDIATE KOREAN                               SEC-202             10:20 AM - 1:20 PM       CHATURVEDI                    
01:574:210                                        WL-165              10:20 AM - 1:20 PM       CHATURVEDI                    
INTRODUCTION TO KOREAN CULTURE                    SEC-202             2:00 PM - 5:00 PM        CHATURVEDI                    
01:574:220                                        WL-165              2:00 PM - 5:00 PM        CHATURVEDI                    
INTRODUCTION TO KOREAN LITERATURE IN    TRANSLATIONSEC-202             2:00 PM - 5:00 PM        MENENDEZ, DAVID               
01:574:230                                        WL-165              2:00 PM - 5:00 PM        MENENDEZ, DAVID               
KOREAN CINEMA                                     SEC-202             2:00 PM - 5:00 PM        MENENDEZ, DAVID               
01:574:301                                        WL-165              2:00 PM - 5:00 PM        MENENDEZ, DAVID               
ADVANCED KOREAN                                   SEC-202             10:20 AM - 1:20 PM       KANIA, JAY                    
01:574:320                                        WL-165              10:20 AM - 1:20 PM       KANIA, JAY                    
KOREAN TRANSLATION:INTRO TO PRACTICAL   TRANSLATION &amp; T..CCB-1209            10:20 AM - 1:20 PM       KANIA, JAY                    
01:574:350                                        CCB-1209            10:20 AM - 1:20 PM       KANIA, JAY                    
NORTH KOREA IN THE SOCIALIST AND POST-  SOCIALIST WORLD..BE-213              10:20 AM - 1:20 PM       FRANCISCO                     
01:574:380                                        BE-213              10:20 AM - 1:20 PM       FRANCISCO                     
TASTE OF KOREA: CULINARY POLITICS IN    CONTEMPORARY SO..ARC-328             10:20 AM - 1:20 PM       FRANCISCO                     
01:574:390                                        ARC-204             10:20 AM - 1:20 PM       FRANCISCO                     
TOPICS IN KOREAN STUDIES                          ARC-204             10:20 AM - 1:20 PM       MENENDEZ, DAVID               
01:574:401                                        SEC-212             2:00 PM - 5:00 PM        KANIA, JAY                    
ADV READINGS KOREAN                               SEC-212             2:00 PM - 5:00 PM        FRANCISCO                     
01:574:495                                        ARC-333             2:00 PM - 5:00 PM        VENUGOPAL, SESH               
INDEPENDENT STUDY IN KOREAN                       ARC-333             2:00 PM - 3:20 PM        VENUGOPAL, SESH               
01:574:497                                        ARC-206             2:00 PM - 3:20 PM        VENUGOPAL, SESH               
HONORS IN KOREAN                                  ARC-206             9:00 AM - 12:00 PM       VENUGOPAL, SESH               
01:580:101                                        WAK-1001            9:00 AM - 12:00 PM       CHANG, LILY                   
ELEMENTARY LATIN I                                WAK-1001            8:30 AM - 9:50 AM        CHANG, LILY                   
01:580:202                                        CCB-1203            9:00 AM - 1:40 PM        CHANG, LILY; HANG, JINQUAN    
INTERMEDIATE LATIN PROSE                          CCB-1203            8:30 AM - 9:50 AM        CHANG, LILY                   
01:580:407                                        CBM-010             3:00 PM - 7:40 PM        MENENDEZ, DAVID               
ADV ST POETRY HORACE                              SEC-204             8:30 AM - 9:50 AM        MENENDEZ, DAVID               
01:590:101                                        CCB-1303            3:00 PM - 7:40 PM        MENENDEZ, DAVID               
LATIN AMERICA: AN INTRODUCTION                    SC-214              3:50 PM - 5:10 PM        MENENDEZ, DAVID               
01:590:250                                        SC-214              3:50 PM - 5:10 PM        MENENDEZ, DAVID               
SPORTS IN LATIN AMERICA &amp; THE CARIBBEAN       SC-214              8:45 AM - 9:40 AM        CENTENO                       
01:590:298                                        SC-120              3:50 PM - 5:10 PM        IMIELINSKI                    
LATINOS AND MIGRATION                             SC-120              3:50 PM - 5:10 PM        MENENDEZ, DAVID               
01:590:299                                        SC-120              10:35 AM - 11:30 AM      MENENDEZ, DAVID               
TOPICS IN LATIN AMERICAN STUDIES                  HH-B3               3:50 PM - 5:10 PM        MENENDEZ, DAVID               
01:590:496                                        HH-B3               3:50 PM - 5:10 PM        ZHU, HE                       
INDEPENDENT STUDY                                 MU-114              2:15 PM - 3:10 PM        ZHU, HE                       
01:590:497                                        MU-114              3:50 PM - 5:10 PM        ZHU, HE                       
HONORS LATIN AMERICAN STUDIES                     SC-201              3:50 PM - 5:10 PM        AANJANEYA                     
01:595:100                                        SC-201              2:15 PM - 3:10 PM        AANJANEYA                     
INTRODUCTION TO CARIBBEAN STUDIES                 SC-201              3:50 PM - 5:10 PM        AANJANEYA                     
01:595:101                                        HH-A1               3:50 PM - 5:10 PM        ELGAMMAL, AHMED               
INTRODUCTION TO LATINO STUDIES                    HH-A1               12:25 PM - 1:20 PM       ELGAMMAL, AHMED               
01:595:103                                        HH-A1               3:50 PM - 5:10 PM        MIRANDA GARCIA                
LATIN IMAGES AND IDENTITIES SEMINAR               SC-106              3:50 PM - 5:10 PM        MIRANDA GARCIA                
01:595:205                                        SC-106              10:35 AM - 11:30 AM      MIRANDA GARCIA                
HISTORY OF THE CARIBBEAN SINCE 1898               SC-101              3:50 PM - 5:10 PM        MIRANDA GARCIA                
01:595:224                                        SPR-309             3:50 PM - 5:10 PM        MIRANDA GARCIA                
IMMIGRATION AND SOCIETY                           SPR-309             5:55 PM - 6:50 PM        MIRANDA GARCIA                
01:595:230                                        SPR-309             3:50 PM - 5:10 PM        GAO, JIE                      
LATINX ART                                        SPR-309             3:50 PM - 5:10 PM        GAO, JIE                      
01:595:240                                        CA-A4               5:55 PM - 6:50 PM        GAO, JIE                      
LATINO LITERATURE AND CULTURE                     CA-A4               3:50 PM - 5:10 PM        GAO, JIE                      
01:595:250                                        SC-205              3:50 PM - 5:10 PM        GHOLIZADEH HAMI               
SPRTS LAT AM &amp; CARIB                          SC-205              10:35 AM - 11:30 AM      GHOLIZADEH HAMI               
01:595:280                                        MU-111              12:10 PM - 1:30 PM       GHOLIZADEH HAMI               
TOPICS IN LATINO AND/OR CARIBBEAN STUDIES         MU-111              12:10 PM - 1:30 PM       GHOLIZADEH HAMI               
01:595:281                                        SC-214              2:15 PM - 3:10 PM        MARIAN, AMELIE                
TOPICS IN LATINO AND/OR CARIBBEAN       STUDIES   SC-214              12:10 PM - 1:30 PM       MARIAN, AMELIE                
01:595:283                                        MI-100              12:10 PM - 1:30 PM       MARTIN, RICHARD               
TOPICS IN LATINO AND/OR CARIBBEAN       STUDIES   MI-100              8:45 AM - 9:40 AM        MARTIN, RICHARD               
01:595:295                                        MI-100              12:10 PM - 1:30 PM       MARTIN, RICHARD               
LAT/CARIB CULT STDYS                              MU-301              12:10 PM - 1:30 PM       MARTIN, RICHARD               
01:595:298                                        MU-301              10:35 AM - 11:30 AM      NARAYANA GANAPA               
LATINOS &amp; MIGRATION                           MU-301              12:10 PM - 1:30 PM       NARAYANA GANAPA               
01:595:307                                        MI-100              12:10 PM - 1:30 PM       FRANCISCO                     
LATINO ETHNOGRAPHY                                MI-100              10:35 AM - 11:30 AM      KRZYZANOWSKI                  
01:595:312                                        MI-100              12:10 PM - 1:30 PM       CHANG, LILY                   
TOPICS IN LATINO AND CARIBBEAN STUDIES            RAB-001             12:10 PM - 1:30 PM       GUNAWARDENA                   
01:595:351                                        RAB-001             2:15 PM - 3:10 PM        GUNAWARDENA                   
MEXICAN AMERICAN HISTORY                          RAB-001             7:30 PM - 8:50 PM        GUNAWARDENA                   
01:595:412                                        AB-4140             7:30 PM - 8:50 PM        GUNAWARDENA                   
TPC SEM LAT/CARIB ST                              AB-4140             9:35 PM - 10:30 PM       COWAN, CHARLES                
01:595:493                                        AB-4140             7:30 PM - 8:50 PM        COWAN, CHARLES                
SERV LRNG INTERNSHIP                              AB-4140             7:30 PM - 8:50 PM        COWAN, CHARLES                
01:595:494                                        AB-4140             5:55 PM - 6:50 PM        SRIKANTA                      
SERVICE LEARNG INTRN                              AB-4140             7:30 PM - 8:50 PM        BEKRIS, KOSTAS                
01:595:495                                        MU-301              7:30 PM - 8:50 PM        BEKRIS, KOSTAS                
INDEPENDENT STUDY                                 MU-301              12:25 PM - 1:20 PM       STRATOS, KARL                 
01:595:498                                        MU-301              7:30 PM - 8:50 PM        STRATOS, KARL                 
HONORS RESEARCH IN LATINO AND           CARIBBEAN STUDI..MI-100              7:30 PM - 8:50 PM        ALLENDER, ERIC                
01:615:101                                        MI-100              9:35 PM - 10:30 PM       AWASTHI                       
EXPLORING LANGUAGE                                AB-4140             7:30 PM - 8:50 PM        ABELLO MONEDERO               
01:615:190                                        AB-4140             7:30 PM - 8:50 PM        AANJANEYA                     
INVENTED LANGUAGES                                AB-4140             8:45 AM - 9:40 AM        AHN, SUNGJIN                  
01:615:191                                        AB-4140             7:30 PM - 8:50 PM        AMES, JEFFREY                 
LINGUISTICS, THE INTERNET, AND SOCIAL MEDIA       AB-4140             7:30 PM - 8:50 PM        ASSADI, SEPEHR                
01:615:201                                        AB-4140             5:55 PM - 6:50 PM        BEKRIS, KOSTAS                
INTRODUCTION TO LINGUISTIC THEORY                 AB-4140             7:30 PM - 8:50 PM        BOULARIAS                     
01:615:305                                        LSH-AUD             7:30 PM - 8:50 PM        BERNSTEIN                     
SYNTAX                                            LSH-AUD             4:05 PM - 5:00 PM        CENTENO                       
01:615:315                                        LSH-AUD             10:20 AM - 11:40 AM      COWAN, CHARLES                
PHONOLOGY                                         LSH-AUD             10:20 AM - 11:40 AM      CHANG, LILY                   
01:615:325                                        LSH-AUD             12:25 PM - 1:20 PM       DENG, DONG                    
SEMANTICS                                         LSH-AUD             10:20 AM - 11:40 AM      ELGAMMAL, AHMED               
01:615:330                                        LSH-AUD             10:20 AM - 11:40 AM      FARACH-COLTON                 
HISTORICAL LINGUISTICS                            LSH-AUD             8:45 AM - 9:40 AM        FRANCISCO                     
01:615:350                                        LSH-AUD             10:20 AM - 11:40 AM      GUNAWARDENA                   
PRAGMATICS                                        LSH-AUD             10:20 AM - 11:40 AM      GAO, JIE                      
01:615:381                                        LSH-AUD             12:25 PM - 1:20 PM       HEDRICK                       
SOCIOLINGUISTICS                                  LSH-AUD             10:20 AM - 11:40 AM      HUANG, YIPENG                 
01:615:392                                        LSH-AUD             10:20 AM - 11:40 AM      IMIELINSKI                    
INTRODUCTION TO COMMUNICATION DISORDERS           LSH-AUD             8:45 AM - 9:40 AM        KREMER, ULRICH                
01:615:393                                        BE-253              10:20 AM - 11:40 AM      KULIKOWSKI                    
AUDIOLOGY                                         BE-253              10:20 AM - 11:40 AM      KAPADIA                       
01:615:441                                        BE-253              4:05 PM - 5:00 PM        KANNAN                        
LINGUISTICS AND COGNITIVE SCIENCE                 BE-253              3:50 PM - 5:10 PM        LI, PING                      
